Item,Spend Category,Exiobase Spend Category,Item Classification,Item Category 1,Item Category 2
Beef,"Agriculture, hunting, forestry and fishing",Products of meat cattle,Food and live animals,Meat,"Bovine, fresh or chilled, boneless"
"Abondance cheese, from cow's milk","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,Other cheese 
"Apricot, canned in light syrup, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Apricots, cherries and peaches; prepared or preserved "
"Apricot, canned in light syrup, not drained","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Apricots, cherries and peaches; prepared or preserved "
"Apricot, in syrup, canned, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Apricots, cherries and peaches; prepared or preserved "
"Apricot, in syrup, canned, not drained","Food, beverages and tobacco",Food products nec,Food and live animals,Fruit,"Apricots, cherries and peaches; prepared or preserved "
"Apricot, pitted, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Apricots, cherries, peaches, nectarines, plums and sloes, fresh."
"Apricot, pitted, dried","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Fruit, dried, n.e.s., and mixtures, n.e.s., of nuts or dried fruits"
"Caribbean-style fish fritters, fish acras","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Fish meat (other than fillets), frozen "
"Seaweed, agar, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Crude materials (inedible),Crude animal and vegetable materials,Seaweeds and other algae
"Lamb, neck, braised or boiled","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, neck, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, chop fillet, raw","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
"Lamb, chop fillet, grilled/pan-fried","Food, beverages and tobacco",Meat products nec,Food and live animals,Meat,"Sheep, fresh or chilled"
