SITC Categories,Item Cat 1,Item Cat 2
Food and live animals,Live Animals,Bovine: Pure-bred breeding animals
Food and live animals,Live Animals,Bovine: Other than pure-bred breeding animals
Food and live animals,Live Animals,"Sheep, live"
Food and live animals,Live Animals,"Goats, live"
Food and live animals,Live Animals,Swine: Pure-bred breeding animals
Food and live animals,Live Animals,Swine: Other than pure-bred breeding animals
Food and live animals,Live Animals,"Poultry, live (<185 g)"
Food and live animals,Live Animals,Other
Food and live animals,Live Animals,"Horses, asses, mules and hinnies, live"
Food and live animals,Live Animals,"Live animals, n.e.s."
Food and live animals,Meat,"Bovine, fresh or chilled, bone in"
Food and live animals,Meat,"Bovine, fresh or chilled, boneless"
Food and live animals,Meat,"Bovine, frozen, bone in"
Food and live animals,Meat,"Bovine, frozen, boneless"
Food and live animals,Meat,"Sheep, fresh or chilled"
Food and live animals,Meat,"Sheep, frozen"
Food and live animals,Meat,"Goats, fresh, chilled or frozen "
Food and live animals,Meat,"Swine, fresh or chilled"
Food and live animals,Meat,"Swine, frozen"
Food and live animals,Meat,"Poultry, whole, fresh or chilled "
Food and live animals,Meat,"Poultry, whole, frozen"
Food and live animals,Meat,"Fatty livers of geese or ducks, fresh or chilled"
Food and live animals,Meat,"Poultry, cuts and offal, fresh or chilled "
Food and live animals,Meat,"Poultry, cuts and offal, frozen"
Food and live animals,Meat,"Horses, asses, mules or hinnies, fresh, chilled or frozen"
Food and live animals,Meat,"Edible offal of bovine animals, fresh or chilled"
Food and live animals,Meat,"Edible offal of bovine animals, frozen"
Food and live animals,Meat,"Edible offal of swine, fresh or chilled"
Food and live animals,Meat,"Edible offal of swine, frozen"
Food and live animals,Meat,"Edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
Food and live animals,Meat,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen"
Food and live animals,Meat,Meat and edible meat offal of rabbits or hares
Food and live animals,Meat,Snails (other than sea snails)
Food and live animals,Meat,"Other meat and edible meat offal, fresh, chilled or frozen"
Food and live animals,Meat,"Hams, shoulders and cuts thereof, bone in"
Food and live animals,Meat,Bellies (streaky) and cuts thereof
Food and live animals,Meat,"Other salted, dried or smoked meat of swine"
Food and live animals,Meat,"Bovine meat and offal, salted, in brine, dried or smoked "
Food and live animals,Meat,"Other, including edible flours and meals of meat or meat offal "
Food and live animals,Meat,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates"
Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
Food and live animals,Meat,"Liver of any animal, prepared or preserved, n.e.s."
Food and live animals,Meat,"Meat and offal (other than liver) of poultry, prepared or preserved, n.e.s."
Food and live animals,Meat,"Meat and offal (other than liver), of swine, prepared or preserved, n.e.s."
Food and live animals,Meat,"Meat and offal (other than liver), of bovine animals, prepared or preserved, n.e.s."
Food and live animals,Meat,Other prepared or preserved meat or meat offal (including preparations of blood of any animal) 
Food and live animals,Dairy,"Milk of a fat content, by weight, ≤1%"
Food and live animals,Dairy,"Milk and cream, of a fat content, by weight, 1.1–6% "
Food and live animals,Dairy,"Cream of a fat content, by weight, ≥6%"
Food and live animals,Dairy,"Milk, in solid form, of a fat content, by weight, ≤1.5%"
Food and live animals,Dairy,"Milk and cream, in solid form, of a fat content, by weight, >1.5%"
Food and live animals,Dairy,"Milk and cream, not in solid form, not containing added sugar or sweeteners"
Food and live animals,Dairy,"Milk and cream, not in solid form, containing added sugar or sweeteners "
Food and live animals,Dairy,"Yogurt, of all kinds, whether or not concentrated or containing added sugar or sweeteners or flavoured or containing added fruit, nuts or cocoa"
