Spend Category	Exiobase Spend Category
"Agriculture, hunting, forestry and fishing"	Paddy rice
"Agriculture, hunting, forestry and fishing"	Wheat
"Agriculture, hunting, forestry and fishing"	Cereals grains nec
"Agriculture, hunting, forestry and fishing"	"Vegetables, fruit, nuts"
"Agriculture, hunting, forestry and fishing"	Oil seeds
"Agriculture, hunting, forestry and fishing"	"Sugar cane, sugar beet"
"Agriculture, hunting, forestry and fishing"	Plant based fibers
"Agriculture, hunting, forestry and fishing"	Crops nec
"Agriculture, hunting, forestry and fishing"	Cattle
"Agriculture, hunting, forestry and fishing"	Pigs
"Agriculture, hunting, forestry and fishing"	Poultry
"Agriculture, hunting, forestry and fishing"	Meat animals nec
"Agriculture, hunting, forestry and fishing"	Raw milk
"Agriculture, hunting, forestry and fishing"	"Wool, silk-worm cocoons"
"Agriculture, hunting, forestry and fishing"	Manure - conventional
"Agriculture, hunting, forestry and fishing"	Manure - biogas
"Agriculture, hunting, forestry and fishing"	Fish and other fishing products; services incidental of fishing
Mining and quarrying	Anthracite
Mining and quarrying	Coking Coal
Mining and quarrying	Other Bituminous Coal
Mining and quarrying	Sub-Bituminous Coal
Mining and quarrying	Patent Fuel
Mining and quarrying	Lignite/Brown Coal
Mining and quarrying	BKB/Peat Briquettes
Mining and quarrying	Peat
Mining and quarrying	"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
Mining and quarrying	"Crude petroleum and services related to crude oil extraction, excluding surveying"
Mining and quarrying	"Natural gas and services related to natural gas extraction, excluding surveying"
Mining and quarrying	Natural Gas Liquids
Mining and quarrying	Other Hydrocarbons
Mining and quarrying	Uranium and thorium ores
Mining and quarrying	Iron ores
Mining and quarrying	Copper ores and concentrates
Mining and quarrying	Nickel ores and concentrates
Mining and quarrying	Aluminium ores and concentrates
Mining and quarrying	Precious metal ores and concentrates
Mining and quarrying	"Lead, zinc and tin ores and concentrates"
Mining and quarrying	Other non-ferrous metal ores and concentrates
Mining and quarrying	Stone
Mining and quarrying	Sand and clay
"Food, beverages and tobacco"	Products of meat cattle
"Food, beverages and tobacco"	Products of meat pigs
"Food, beverages and tobacco"	Products of meat poultry
"Food, beverages and tobacco"	Meat products nec
"Food, beverages and tobacco"	Products of vegetable oils and fats
"Food, beverages and tobacco"	Dairy products
"Food, beverages and tobacco"	Processed rice
"Food, beverages and tobacco"	Sugar
"Food, beverages and tobacco"	Food products nec
"Food, beverages and tobacco"	Beverages
"Food, beverages and tobacco"	Fish products
"Food, beverages and tobacco"	Tobacco products
"Food, beverages and tobacco"	Food waste for treatment: biogasification and land application
"Food, beverages and tobacco"	Food waste for treatment: composting and land application
"Food, beverages and tobacco"	Food waste for treatment: incineration
"Food, beverages and tobacco"	Food waste for treatment: landfill
Textiles and textile products	Textiles
Textiles and textile products	Textiles waste for treatment: incineration
Textiles and textile products	Textiles waste for treatment: landfill
Textiles and textile products	Wearing apparel; furs
Leather and footwear	Leather and leather products
Wood and wood products	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
Wood and wood products	"Wood material fo treatment, reprocessing of secondary wood material into new wood material"
Wood and wood products	Wood waste for treatment: incineration
Wood and wood products	Wood waste for treatment: landfill
Pulp and paper	Pulp
Pulp and paper	Paper and paper products
Pulp and paper	Printed matter and recorded media
Pulp and paper	"Secondary paper for treatment, re-processing of secondary paper to new paper"
"Coke, refined petroleum and nuclear fuel"	Coke Oven Coke
"Coke, refined petroleum and nuclear fuel"	Gas Coke
"Coke, refined petroleum and nuclear fuel"	Coal Tar
"Coke, refined petroleum and nuclear fuel"	Charcoal
"Coke, refined petroleum and nuclear fuel"	Motor Gasoline
"Coke, refined petroleum and nuclear fuel"	Aviation Gasoline
